string_ubigeo_descripcion,int_ubigeo_departamento,int_ubigeo_provincia,int_ubigeo_distrito,int_ubigeo_dependecia,float_ubigeo_latitud,float_ubigeo_longitud
SAN LUIS,0,0,1,38,-16.399,-71.5364
SAN NICOLAS,0,0,1,38,-16.399,-71.5364
YAUYA,0,0,1,38,-16.399,-71.5364
CASMA,0,0,1,39,-16.399,-71.5364
BUENA VISTA ALTA,0,0,1,39,-16.399,-71.5364
COMANDANTE NOEL,0,0,1,39,-16.399,-71.5364
YAUTAN,0,0,1,39,-16.399,-71.5364
CORONGO,0,0,1,40,-16.399,-71.5364
ACO,0,0,1,40,-16.399,-71.5364
BAMBAS,0,0,1,40,-16.399,-71.5364
CUSCA,0,0,1,40,-16.399,-71.5364
LA PAMPA,0,0,1,40,-16.399,-71.5364
YANAC,0,0,1,40,-16.399,-71.5364
YUPAN,0,0,1,40,-16.399,-71.5364
HUARAZ,0,0,1,41,-16.399,-71.5364
COCHABAMBA,0,0,1,41,-16.399,-71.5364
COLCABAMBA,0,0,1,41,-16.399,-71.5364
HUANCHAY,0,0,1,41,-16.399,-71.5364
INDEPENDENCIA,0,0,1,41,-16.399,-71.5364
JANGAS,0,0,1,41,-16.399,-71.5364
LA LIBERTAD,0,0,1,41,-16.399,-71.5364
OLLEROS,0,0,1,41,-16.399,-71.5364
PAMPAS,0,0,1,41,-16.399,-71.5364
PARIACOTO,0,0,1,41,-16.399,-71.5364
PIRA,0,0,1,41,-16.399,-71.5364
TARICA,0,0,1,41,-16.399,-71.5364
HUARMEY,0,0,1,43,-16.399,-71.5364
COCHAPETI,0,0,1,43,-16.399,-71.5364
CULEBRAS,0,0,1,43,-16.399,-71.5364
HUAYAN,0,0,1,43,-16.399,-71.5364
MALVAS,0,0,1,43,-16.399,-71.5364
CARAZ,0,0,1,44,-16.399,-71.5364
HUALLANCA,0,0,1,44,-16.399,-71.5364
HUATA,0,0,1,44,-16.399,-71.5364
HUAYLAS,0,0,1,44,-16.399,-71.5364
MATO,0,0,1,44,-16.399,-71.5364
PAMPAROMAS,0,0,1,44,-16.399,-71.5364
PUEBLO LIBRE,0,0,1,44,-16.399,-71.5364
SANTA CRUZ,0,0,1,44,-16.399,-71.5364
SANTO TORIBIO,0,0,1,44,-16.399,-71.5364
YURACMARCA,0,0,1,44,-16.399,-71.5364
PISCOBAMBA,0,0,1,44,-16.399,-71.5364
CASCA,0,0,1,45,-16.399,-71.5364
ELEAZAR GUZMAN BARRON,0,0,1,45,-16.399,-71.5364
FIDEL OLIVAS ESCUDERO,0,0,1,45,-16.399,-71.5364
LLAMA,0,0,1,45,-16.399,-71.5364
LLUMPA,0,0,1,45,-16.399,-71.5364
LUCMA,0,0,1,45,-16.399,-71.5364
MUSGA,0,0,1,45,-16.399,-71.5364
OCROS,0,0,1,46,-16.399,-71.5364
ACAS,0,0,1,46,-16.399,-71.5364
CAJAMARQUILLA,0,0,1,46,-16.399,-71.5364
CARHUAPAMPA,0,0,1,46,-16.399,-71.5364
COCHAS,0,0,1,46,-16.399,-71.5364
CONGAS,0,0,1,46,-16.399,-71.5364
LLIPA,0,0,1,46,-16.399,-71.5364
SAN CRISTOBAL DE RAJAN,0,0,1,46,-16.399,-71.5364
SAN PEDRO,0,0,1,46,-16.399,-71.5364
SANTIAGO DE CHILCAS,0,0,1,46,-16.399,-71.5364
CABANA,0,0,1,47,-16.399,-71.5364
BOLOGNESI,0,0,1,47,-16.399,-71.5364
CONCHUCOS,0,0,1,47,-16.399,-71.5364
HUACASCHUQUE,0,0,1,47,-16.399,-71.5364
HUANDOVAL,0,0,1,47,-16.399,-71.5364
LACABAMBA,0,0,1,47,-16.399,-71.5364
LLAPO,0,0,1,47,-16.399,-71.5364
PALLASCA,0,0,1,47,-16.399,-71.5364
PAMPAS,0,0,1,47,-16.399,-71.5364
SANTA ROSA,0,0,1,47,-16.399,-71.5364
TAUCA,0,0,1,47,-16.399,-71.5364
POMABAMBA,0,0,1,48,-16.399,-71.5364
HUAYLLAN,0,0,1,48,-16.399,-71.5364
PAROBAMBA,0,0,1,48,-16.399,-71.5364
QUINUABAMBA,0,0,1,48,-16.399,-71.5364
RECUAY,0,0,1,49,-16.399,-71.5364
CATAC,0,0,1,49,-16.399,-71.5364
COTAPARACO,0,0,1,49,-16.399,-71.5364
HUAYLLAPAMPA,0,0,1,49,-16.399,-71.5364
LLACLLIN,0,0,1,49,-16.399,-71.5364
MARCA,0,0,1,49,-16.399,-71.5364
PAMPAS CHICO,0,0,1,49,-16.399,-71.5364
PARARIN,0,0,1,49,-16.399,-71.5364
TAPACOCHA,0,0,1,49,-16.399,-71.5364
TICAPAMPA,0,0,1,49,-16.399,-71.5364
CHIMBOTE,0,0,1,50,-16.399,-71.5364
CACERES DEL PERU,0,0,1,50,-16.399,-71.5364
COISHCO,0,0,1,50,-16.399,-71.5364
MACATE,0,0,1,50,-16.399,-71.5364
MORO,0,0,1,50,-16.399,-71.5364
NEPEÑA,0,0,1,50,-16.399,-71.5364
SAMANCO,0,0,1,50,-16.399,-71.5364
SANTA,0,0,1,50,-16.399,-71.5364
NUEVO CHIMBOTE,0,0,1,50,-16.399,-71.5364
SIHUAS,0,0,1,51,-16.399,-71.5364
ACOBAMBA,0,0,1,51,-16.399,-71.5364
ALFONSO UGARTE,0,0,1,51,-16.399,-71.5364
CASHAPAMPA,0,0,1,51,-16.399,-71.5364
CHINGALPO,0,0,1,51,-16.399,-71.5364
HUAYLLABAMBA,0,0,1,51,-16.399,-71.5364
QUICHES,0,0,1,51,-16.399,-71.5364
RAGASH,0,0,1,51,-16.399,-71.5364
SAN JUAN,0,0,1,51,-16.399,-71.5364
SICSIBAMBA,0,0,1,51,-16.399,-71.5364
YUNGAY,0,0,1,52,-16.399,-71.5364
CASCAPARA,0,0,1,52,-16.399,-71.5364
MANCOS,0,0,1,52,-16.399,-71.5364
MATACOTO,0,0,1,52,-16.399,-71.5364
QUILLO,0,0,1,52,-16.399,-71.5364
RANRAHIRCA,0,0,1,52,-16.399,-71.5364
SHUPLUY,0,0,1,52,-16.399,-71.5364
YANAMA,0,0,1,52,-16.399,-71.5364
ANRA,0,0,1,42,-16.399,-71.5364
CAJAY,0,0,1,42,-16.399,-71.5364
CHAVIN DE HUANTAR,0,0,1,42,-16.399,-71.5364
HUACACHI,0,0,1,42,-16.399,-71.5364
HUACCHIS,0,0,1,42,-16.399,-71.5364
HUACHIS,0,0,1,42,-16.399,-71.5364
HUANTAR,0,0,1,42,-16.399,-71.5364
HUARI,0,0,1,42,-16.399,-71.5364
MASIN,0,0,1,42,-16.399,-71.5364
PAUCAS,0,0,1,42,-16.399,-71.5364
PONTO,0,0,1,42,-16.399,-71.5364
RAHUAPAMPA,0,0,1,42,-16.399,-71.5364
RAPAYAN,0,0,1,42,-16.399,-71.5364
SAN MARCOS,0,0,1,42,-16.399,-71.5364
SAN PEDRO DE CHANA,0,0,1,42,-16.399,-71.5364
UCO,0,0,1,42,-16.399,-71.5364
PISCOBAMBA,0,0,1,45,-16.399,-71.5364
ABANCAY,0,0,1,53,-16.399,-71.5364
CHACOCHE,0,0,1,53,-16.399,-71.5364
CIRCA,0,0,1,53,-16.399,-71.5364
CURAHUASI,0,0,1,53,-16.399,-71.5364
HUANIPACA,0,0,1,53,-16.399,-71.5364
LAMBRAMA,0,0,1,53,-16.399,-71.5364
PICHIRHUA,0,0,1,53,-16.399,-71.5364
SAN PEDRO DE CACHORA,0,0,1,53,-16.399,-71.5364
TAMBURCO,0,0,1,53,-16.399,-71.5364
ANDAHUAYLAS,0,0,1,54,-16.399,-71.5364
ANDARAPA,0,0,1,54,-16.399,-71.5364
CHIARA,0,0,1,54,-16.399,-71.5364
HUANCARAMA,0,0,1,54,-16.399,-71.5364
HUANCARAY,0,0,1,54,-16.399,-71.5364
HUAYANA,0,0,1,54,-16.399,-71.5364
KISHUARA,0,0,1,54,-16.399,-71.5364
PACOBAMBA,0,0,1,54,-16.399,-71.5364
PACUCHA,0,0,1,54,-16.399,-71.5364
PAMPACHIRI,0,0,1,54,-16.399,-71.5364
POMACOCHA,0,0,1,54,-16.399,-71.5364
SAN ANTONIO DE CACHI,0,0,1,54,-16.399,-71.5364
SAN JERONIMO,0,0,1,54,-16.399,-71.5364
SAN MIGUEL DE CHACCRAMPA,0,0,1,54,-16.399,-71.5364
SANTA MARIA DE CHICMO,0,0,1,54,-16.399,-71.5364
